date_time,site,variable,value
2022-04-07T13:10:00Z,Kalauhaihai,mv,-20.23
2022-04-07T13:10:00Z,Kalauhaihai,pH,7.19
2022-04-07T13:20:00Z,Kalauhaihai,temp_celsius,22.88
2022-04-07T13:20:00Z,Kalauhaihai,mv,-20.28
2022-04-07T13:20:00Z,Kalauhaihai,pH,7.19
2022-04-07T13:30:00Z,Kalauhaihai,temp_celsius,22.88
2022-04-07T13:30:00Z,Kalauhaihai,mv,-20.31
2022-04-07T13:30:00Z,Kalauhaihai,pH,7.19
2022-04-07T13:40:00Z,Kalauhaihai,temp_celsius,22.88
2022-04-07T13:40:00Z,Kalauhaihai,mv,-20.34
2022-04-07T13:40:00Z,Kalauhaihai,pH,7.19
2022-04-07T13:50:00Z,Kalauhaihai,temp_celsius,22.86
2022-04-07T13:50:00Z,Kalauhaihai,mv,-20.39
2022-04-07T13:50:00Z,Kalauhaihai,pH,7.2
2022-04-07T14:00:00Z,Kalauhaihai,temp_celsius,22.86
2022-04-07T14:00:00Z,Kalauhaihai,mv,-20.42
2022-04-07T14:00:00Z,Kalauhaihai,pH,7.2
2022-04-07T14:10:00Z,Kalauhaihai,temp_celsius,22.86
2022-04-07T14:10:00Z,Kalauhaihai,mv,-20.49
2022-04-07T14:10:00Z,Kalauhaihai,pH,7.2
2022-04-07T14:20:00Z,Kalauhaihai,temp_celsius,22.86
2022-04-07T14:20:00Z,Kalauhaihai,mv,-20.5
2022-04-07T14:20:00Z,Kalauhaihai,pH,7.2
2022-04-07T14:30:00Z,Kalauhaihai,temp_celsius,22.86
2022-04-07T14:30:00Z,Kalauhaihai,mv,-20.55
2022-04-07T14:30:00Z,Kalauhaihai,pH,7.2
2022-04-07T14:40:00Z,Kalauhaihai,temp_celsius,22.84
2022-04-07T14:40:00Z,Kalauhaihai,mv,-20.61
2022-04-07T14:40:00Z,Kalauhaihai,pH,7.2
2022-04-07T14:50:00Z,Kalauhaihai,temp_celsius,22.84
2022-04-07T14:50:00Z,Kalauhaihai,mv,-20.64
